Edad;Experiencia;Ingreso;Familia;credito;educacion;cuenta de ahorros;servicios online;tarjeta de credito
60;35;19295877,6;3;500;2;0;1;1
42;17;20317664,53;1;1000;3;0;1;0
44;20;12,20655562;1;1700;1;0;1;0
53;29;7,416198487;4;1100;2;1;1;0
26;1;7,280109889;2;1600;3;0;1;0
45;21;10,09950494;4;4700;2;0;0;0
45;21;13,52774926;2;1400;1;0;0;0
48;24;23492069,72;3;400;1;0;1;0
57;32;4,582575695;3;100;2;0;1;0
41;15;7;3;900;3;0;1;1
35;9;6,633249581;3;900;1;0;0;0
38;14;9,486832981;2;0;1;0;1;1
57;32;7,416198487;4;2100;1;0;1;0
475.255.444.745.327;24;7,615773106;2;1700;1;1;0;0
65;41;6,480740698;1;1900;2;0;0;0
34;9;9,433981132;1;0;1;0;1;0
34;9;13,82027496;1;4800;3;0;1;1
32;7;11,48912529;4;1100;2;0;1;0
61;36;11,13552873;2;3900;1;0;0;1
41;17;8,062257748;3;2100;3;0;1;0
27;1;9,899494937;4;2300;3;0;0;1
30;6;10,58300524;3;2500;1;0;1;0
43;18;7,681145748;1;2400;1;0;1;0
62;37;9,110433579;4;100;2;0;0;0
30;4;4,898979486;1;400;2;0;1;0
36;10;8,94427191;4;2200;2;0;1;0
60;36;13,96424004;1;4700;1;0;1;0
61;37;8,544003745;3;2000;3;0;0;0
35;5;8,246211251;4;1800;3;0;0;0
39;14;5,291502622;2;1400;2;0;0;1
31;7;6,164414003;1;1800;2;0;1;1
46;22;8,366600265;4;1900;1;0;0;1
31;5;7,071067812;1;1500;1;0;1;0
65;40;8,306623863;4;100;2;0;1;0
52;26;5,567764363;4;1500;3;1;1;0
59;34;12,04159458;4;1800;1;0;1;0
36;11;6,244997998;4;1700;1;0;1;0
30;5;8,94427191;4;2200;2;0;1;0
35;9;4,795831523;4;300;1;0;0;0
28;2;9,643650761;2;200;1;0;0;0
48;24;9;3;700;1;0;0;0
51;25;13,41640786;1;1700;1;0;1;0
488.337.846.888.903;24;5,477225575;4;969,4161225;1;0;1;1
55;29;10,53565375;2;3600;3;0;0;1
39;15;12,9614814;2;8000;1;0;0;0
45;21;11,3137085;1;4700;1;0;0;0
50;26;6,244997998;3;1900;2;0;1;0
34;10;6,164414003;1;1330;1;0;1;0
38;14;10,09950494;2;1900;1;0;1;1
64;39;4,898979486;4;400;2;0;1;0
30;4;9;2;200;1;0;1;0
51;26;3,464101615;2;700;3;0;1;1
46;20;8,485281374;2;800;3;0;1;1
46;20;8,602325267;4;2600;3;0;1;0
59;33;8,426149773;2;2300;3;1;1;1
30;4;6,32455532;1;300;1;0;1;1
57;31;7,416198487;3;2500;1;0;1;1
53;29;11,87434209;2;200;3;0;0;0
29;5;12,20655562;1;1500;1;0;1;0
38;14;6,480740698;1;2000;2;0;1;0
54;28;9,433981132;1;1900;2;1;1;1
26;1;7,071067812;4;600;2;0;0;0
57;31;7,141428429;1;1400;1;0;1;1
59;33;3,16227766;4;700;3;0;1;0
36;10;13,52774926;2;0;1;0;0;0
62;36;6,403124237;2;1000;3;0;1;0
56;31;7,681145748;2;1900;2;0;1;0
60;35;4,472135955;1;1300;1;0;1;0
53;29;10,86278049;2;2,62E+17;1;1;1;0
56;26;9,591663047;2;4500;3;1;0;1
65;39;4,795831523;3;700;2;0;0;1
51;25;5,830951895;3;600;2;0;1;0
35;10;13,37908816;1;8600;1;0;0;0
61;35;7,745966692;3;1400;3;0;0;0
58;32;11,40175425;2;2700;1;0;1;0
35;11;6,164414003;1;1500;2;0;1;0
35;10;8,888194417;4;2100;3;0;1;0
59;33;9,643650761;2;700;2;0;0;0
30;4;4,795831523;4;300;2;0;0;0
47;23;5,656854249;1;1000;1;0;0;1
52;26;9,746794345;1;300;1;0;1;0
29;2;5,744562647;1;2000;2;0;0;0
49;23;9,643650761;1;2400;1;0;1;1
48;22;7,348469228;1;1200;2;0;0;0
57;32;6,244997998;4;900;1;0;1;1
32;8;14,14213562;2;6500;1;0;1;0
52;27;5,830951895;2;700;2;0;1;1
38;14;8,366600265;4;2000;3;0;1;0
54;30;4,69041576;2;400;1;0;1;0
33;7;10,72380529;1;2700;2;0;1;0
45;21;12,32882801;2;7500;1;0;1;0
31;7;12,20655562;1;6000;1;0;0;0
58;34;6,480740698;4;1500;1;0;1;1
38;14;6,633249581;2;1700;1;0;0;0
35;9;9,219544457;2;1800;1;0;0;0
44;17;4,69041576;3;1,08E+17;2;0;1;1
47;23;5;1;900;3;0;1;0
42;18;5,830951895;1;2000;2;1;0;0
46;20;12,32882801;1;7400;3;0;1;1
44;19;8,366600265;1;200;2;0;0;0
47;23;5,830951895;4;600;1;0;1;1
34;10;8,426149773;1;100;1;0;1;1
37;11;8,306623863;3;2100;1;1;0;0
46;22;4,358898944;3;500;1;0;1;0
47;23;5,656854249;1;1000;1;1;1;1
59;35;5,744562647;4;400;1;0;0;1
46;20;7;3;2200;2;0;0;0
56;30;6,708203932;4;700;2;0;0;1
62;36;9,591663047;2;700;2;1;1;0
32;8;10,72380529;1;4000;1;0;0;0
39;13;9,643650761;1;1500;3;0;0;1
57;32;5,291502622;3;200;1;1;1;1
47;23;9,38083152;4;1400;2;0;0;0
531.566.632.957.729;26;2,828427125;1;500;2;1;0;1
50;24;9;2;400;3;1;0;0
52;27;5;2;0;1;0;1;1
55;30;8,888194417;2;0;3;0;0;0
58;34;7,937253933;4;1500;1;0;1;0
63;39;9,110433579;3;2000;3;0;1;1
57;32;3,605551275;4;900;2;1;1;0
33;6;12,9614814;3;5670;2;0;1;0
57;32;6,480740698;2;2100;3;0;1;0
46;22;11,18033989;2;4700;3;0;1;0
51;27;6,480740698;4;1100;2;0;1;1
44;20;7,874007874;2;2500;1;0;1;0
61;35;9;4;1900;2;0;0;0
29;3;13,78404875;2;4500;1;0;1;1
32;2;8,306623863;4;4000;3;0;1;0
38;12;11,87434209;2;0;1;0;1;1
25;1;10,63014581;3;2500;1;0;0;1
620.597.087.701.982;39;12,64911064;2;2100;1;0;1;1
58;32;7,937253933;1;1600;1;0;1;0
48;22;5,916079783;1;1400;3;0;1;0
34;8;9;3;900;2;0;1;0
48;21;4,795831523;3;670;2;0;1;0
43;19;9;4;200;3;0;0;1
59;34;9,949874371;1;4400;1;0;0;0
43;19;12,36931688;2;7500;1;1;1;0
38;14;8,602325267;2;0;1;0;1;0
54;30;7,615773106;2;3200;3;0;0;0
47;23;12,16552506;2;7500;1;0;1;1
57;31;6,164414003;4;700;2;0;1;0
36;11;2,828427125;4;200;3;0;0;1
63;39;12,64911064;2;2100;1;0;0;1
50;25;1121697,944;1;1200;1;0;0;0
39;13;7,071067812;2;2400;2;1;0;0
42;18;7,745966692;4;200;3;0;0;1
62;36;5,291502622;3;700;2;0;1;0
57;31;7,280109889;1;800;2;0;0;0
43;17;7;1;2800;1;0;1;0
34;8;9,055385138;2;1500;3;0;1;1
36;12;11,91637529;3;2300;2;0;1;1
354.564.260.106.473;11;6,557438524;1;2000;1;0;1;0
45;21;12,28820573;2;3300;1;0;0;0
62;37;11,18033989;1;1000;3;0;1;0
42;12;26038774,77;3;2000;3;0;0;0
24;-1;8,831760866;2;1800;2;0;0;0
35;11;4,898979486;4;400;2;0;0;0
34;10;4,69041576;3;900;3;0;1;0
38;14;8;1;1500;3;0;0;1
52;26;13,49073756;2;1400;2;0;1;0
61;35;26637035,87;4;1700;2;0;1;0
59;35;2,828427125;4;700;1;0;0;0
64;39;8,544003745;3;2400;1;0;0;0
33;9;7,071067812;1;2400;2;0;0;0
47;22;5,916079783;2;1300;1;0;1;0
55;29;9;4;4900;1;1;1;0
43;19;11;1;700;2;0;1;1
34;9;7,745966692;3;2300;1;0;0;0
60;36;11,35781669;2;6000;1;0;1;0
35;10;8,888194417;4;2100;3;0;1;0
64;38;5,385164807;3;700;2;0;1;0
44;19;9,219544457;2;3800;3;0;1;0
60;34;5;4;700;3;0;1;0
47;22;4,898979486;4;400;2;0;1;0
33;8;11,18033989;1;0;1;0;1;1
65;40;12,72792206;1;1300;1;0;1;0
50;26;10,48808848;3;1800;2;0;1;0
43;19;11,35781669;1;5000;1;0;1;0
492.702.397.527.193;20;5;4;600;3;0;0;0
50;24;12,24744871;1;7300;1;0;1;1
56;31;5,291502622;1;1500;2;0;1;1
32;7;7,615773106;1;1000;1;0;1;0
45;19;11,87434209;1;2400;1;0;1;0
56;26;7,937253933;3;2000;3;0;1;0
42;18;11,44552314;1;3400;1;0;0;1
41;16;10,63014581;1;1000;3;0;0;1
45;21;8,544003745;1;800;3;0;1;0
28;3;7,416198487;4;1700;2;0;1;1
61;36;10,90871211;2;5400;2;0;1;0
51;27;6,164414003;2;1000;3;0;1;0
24;-2;9,055385138;2;1600;3;1;1;1
30;4;3,872983346;4;400;1;0;1;0
32;6;3,605551275;4;300;1;0;1;1
49;23;8,062257748;2;400;3;0;0;1
63;38;2,828427125;4;600;2;0;1;0
48;24;4,472135955;1;1000;1;0;1;1
49;23;5,744562647;1;300;3;0;1;1
50;25;9,486832981;1;2800;2;0;1;0
55;30;8;2;2300;3;0;0;0
42;18;5,744562647;1;1400;3;0;1;0
48;24;8,888194417;3;700;1;0;1;1
26;2;8,485281374;4;2600;1;0;1;0
40;16;7,810249676;3;2100;3;0;0;0
40;15;11,48912529;2;3900;1;0;1;0
62;37;4,898979486;1;300;3;0;1;0
26;1;9,38083152;2;1800;2;0;0;0
44;19;9,110433579;2;3800;3;0;0;1
50;26;13,78404875;3;2100;3;0;1;0
57;33;11,04536102;2;6000;1;0;1;1
48;22;12,24744871;1;7300;1;0;0;0
49;23;10;2;6300;1;0;0;0
39;14;10,19803903;1;4000;3;0;1;1
49;23;9,055385138;2;2400;2;0;0;0
67;42;5,656854249;1;1100;3;0;0;1
27;2;6,708203932;2;1700;2;0;0;1
62;38;11,48912529;1;2900;1;0;0;0
53;28;9,219544457;1;1200;1;0;0;0
34;8;12,84523258;1;7000;3;0;0;0
48;22;9,219544457;3;1100;1;0;1;0
23;-2;9;2;1800;2;1;0;0
33;8;10,95445115;2;4200;3;0;0;1
33;8;6,244997998;3;2300;1;0;0;0
37;13;8,888194417;4;100;2;1;1;0
31;5;10,04987562;1;2900;3;0;0;0
34;10;6,403124237;1;2400;2;0;0;0
54;24;5;4;400;3;0;0;1
56;32;3,872983346;1;100;2;0;1;0
46;20;3,464101615;4;600;3;1;0;1
51;24;13,74772708;4;4,01E+17;2;0;1;0
51;26;5,291502622;4;200;2;0;1;0
48;23;10,58300524;1;5100;2;1;1;0
35;9;5,477225575;4;1000;1;0;1;0
45;21;9,539392014;1;4700;1;0;1;0
34;10;6,633249581;1;1330;1;0;1;0
52;27;6,557438524;4;200;2;0;1;0
33;8;11,83215957;1;4600;1;0;1;0
42;18;5,567764363;1;300;3;0;0;1
62;32;11,91637529;2;2800;3;0;0;1
35;11;13,7113092;1;5,16E+17;3;0;1;0
52;22;12,40967365;1;3,14E+17;3;0;1;0
43;18;9,110433579;3;500;3;0;0;1
64;39;10,63014581;1;800;3;0;0;1
47;22;9;1;2900;1;0;0;0
42;15;6,403124237;3;2500;2;0;1;0
52;27;5,916079783;4;200;2;0;1;0
33;8;6,244997998;4;800;1;1;1;0
45;20;13,92838828;2;8800;1;0;0;0
59;35;12,9614814;4;4100;2;0;1;0
25;0;6,164414003;2;1600;3;0;0;0
45;21;7,810249676;3;700;1;0;1;1
37;12;6,32455532;2;1100;2;0;0;1
50;26;11,61895004;2;4600;3;0;1;0
594.841.281.741.006;34;4,795831523;4;400;2;0;0;0
48;24;12,72792206;4;3300;2;0;1;0
62;37;6,164414003;1;1100;3;0;1;0
38;12;6,92820323;4;200;3;0;1;0
48;18;13,49073756;4;6000;3;0;1;0
37;12;13,92838828;4;200;3;0;1;1
26;2;11,48912529;2;2400;3;1;0;1
39;14;6,480740698;1;2500;3;0;1;0
40;16;12,4498996;4;100;3;0;1;1
49;23;7,681145748;3;2100;1;0;0;0
48;24;11,5758369;1;5000;1;0;0;1
33;8;11,53256259;1;0;1;0;1;0
42;17;5,385164807;1;600;3;0;1;0
50;26;4,358898944;2;400;1;0;1;0
44;18;8,660254038;1;700;3;0;0;1
52;27;4,69041576;4;800;1;0;1;1
36;10;5,744562647;4;1200;2;0;1;0
59;33;8,246211251;2;2300;3;0;0;0
37;13;6,708203932;1;1800;1;0;0;0
40;14;6,480740698;2;700;1;1;1;0
59;33;25081757,73;2;500;1;1;1;0
47;23;10,24695077;2;3300;1;0;0;0
30;5;6,403124237;4;1700;2;0;1;0
26;2;7,141428429;4;2600;1;0;1;0
32;6;9,219544457;1;2,16E+17;2;0;1;0
63;37;9,16515139;4;2400;3;0;1;1
33;7;6,633249581;1;300;1;0;0;0
65;40;10,72380529;1;2500;1;0;0;1
56;32;5,744562647;3;1500;1;0;0;0
35;9;6,32455532;3;900;1;0;1;1
53;27;6,708203932;2;800;3;1;1;1
44;18;5,744562647;3;500;2;0;0;0
29;4;4,69041576;2;900;3;0;0;0
27;1;8,831760866;4;2300;3;1;1;0
28;2;7,141428429;4;1800;3;0;0;1
30;4;4,242640687;2;300;2;0;1;0
41;17;6,164414003;4;2200;2;0;0;1
32;7;10;3;600;2;0;1;0
58;33;11,91637529;2;3900;1;0;1;1
26;1;5,916079783;2;1700;2;0;0;1
33;7;5,385164807;1;600;3;0;0;1
45;20;12,40967365;2;2800;1;0;1;0
62;36;6,244997998;2;300;1;0;1;0
45;20;5,385164807;4;1900;3;0;0;0
29;4;10,19803903;4;1800;3;1;0;1
46;21;8,246211251;1;200;2;0;1;0
57;32;11,13552873;1;200;2;0;1;0
28;3;11,09053651;1;800;1;0;0;0
62;37;7,071067812;3;1500;1;0;1;0
45;20;6,32455532;1;500;3;0;1;0
50;24;9,055385138;3;3000;2;1;1;0
33;9;12,04159458;1;4300;1;0;1;0
60;34;6,633249581;2;300;1;0;1;0
50;24;5,385164807;4;100;1;0;0;0
56;30;11,83215957;4;500;1;1;0;0
59;35;7,211102551;4;1500;1;0;1;1
29;3;3,16227766;4;400;1;0;1;1
41;17;6,480740698;4;2200;2;0;1;0
27;3;4,242640687;1;400;3;0;0;0
45;19;6,403124237;1;200;1;0;1;0
50;26;6,480740698;4;1100;2;1;1;0
47;23;7,937253933;1;800;3;0;1;0
56;32;6,92820323;1;1600;3;0;0;1
48;23;8,660254038;4;3600;3;0;1;1
32;6;4,69041576;4;300;1;0;0;0
30;5;11,87434209;1;800;1;0;1;0
57;32;4,358898944;4;900;2;0;1;0
62;36;12,16552506;3;7000;2;0;1;0
43;17;8;4;3000;3;0;1;0
39;15;9,539392014;2;1700;2;0;0;0
58;33;9,746794345;1;2600;1;0;1;0
30;5;4,472135955;4;500;3;0;0;0
38;12;7,745966692;2;1800;1;1;1;0
49;24;8,888194417;1;200;2;0;1;1
47;21;10,95445115;1;0;1;0;0;0
61;37;5,744562647;3;100;3;0;1;0
55;29;8,888194417;2;1100;1;0;1;0
48;23;5,477225575;3;1700;2;0;1;0
38;14;5,916079783;1;1500;2;0;1;0
57;33;5,291502622;1;1200;3;0;1;0
31;5;10,53565375;2;200;1;0;0;0
50;26;10,72380529;1;1200;3;0;0;1
61;36;7,681145748;4;1700;1;0;0;0
50;23;3;2;1000;2;0;1;0
25;-1;7,280109889;3;2400;2;0;0;0
30;4;8,94427191;4;1800;2;0;0;0
37;13;8,888194417;1;3600;2;1;1;0
27;3;9,16515139;3;1500;1;0;1;1
30;5;9,899494937;2;3100;1;0;1;0
63;38;7,071067812;2;2800;1;0;0;0
60;34;7,211102551;4;1700;2;0;1;0
56;31;8,062257748;2;3700;1;0;1;0
39;14;5,830951895;4;1700;1;0;1;1
29;3;11;2;1300;1;1;0;0
38;12;5,477225575;2;1400;3;0;0;1
40;15;13,22875656;2;3300;1;0;1;0
43;18;9,433981132;1;100;2;0;0;1
51;27;4,358898944;1;200;1;0;0;0
57;32;5,744562647;1;1500;2;0;1;0
39;13;8,485281374;2;2800;1;0;1;0
58;32;5,656854249;3;1400;1;0;1;0
57;32;6,244997998;4;900;1;1;0;0
413.210.781.071.001;14;9,219544457;3;1200;3;0;1;1
43;18;4,69041576;2;300;2;1;1;0
31;5;4,242640687;2;300;1;0;1;1
47;22;7,280109889;4;1900;3;0;0;1
42;18;5,385164807;1;300;3;0;1;0
44;20;5,744562647;4;300;1;1;0;1
48;23;6,708203932;1;1300;2;0;1;0
64;38;6,244997998;1;500;3;0;1;1
40;15;9,16515139;1;3700;3;0;1;0
52.964.872.824.903;28;9,110433579;3;800;1;0;1;0
48;22;8,94427191;2;2400;2;0;1;0
44;19;5,477225575;4;0;2;0;1;0
64;39;8,544003745;3;2200;1;0;0;1
56;30;6,633249581;4;700;2;0;1;0
417.634.570.043.498;18;12;2;6100;1;0;0;0
60;34;5,744562647;2;300;1;1;1;0
50;26;9,055385138;1;0;1;1;1;1
56;32;6,633249581;3;1500;1;0;1;0
52;26;5,916079783;3;900;3;0;0;0
58;34;3,464101615;1;100;2;0;0;1
43;18;7,681145748;3;1,22E+17;3;0;1;0
23;-1;3,605551275;4;1000;1;0;1;0
51;26;5,830951895;4;400;2;0;0;0
42;16;7,416198487;1;700;3;0;1;0
38;13;10,63014581;4;1700;2;0;0;1
60;36;7,874007874;4;2200;1;0;0;0
28;2;4,69041576;1;100;2;0;1;0
49;23;8,888194417;3;700;2;1;1;0
490.741.088.001.685;26;4,582575695;4;800;1;0;1;0
30;4;8,831760866;4;2200;2;0;0;0
32;6;5,656854249;1;1900;3;0;1;0
55;30;6,480740698;2;2000;2;0;0;1
58;33;5;4;900;2;0;1;1
64;40;9,746794345;2;0;3;0;1;1
59;35;6,244997998;4;1300;1;0;1;0
46;21;3;2;700;3;0;1;0
49;24;7,141428429;1;1300;2;0;0;0
51;25;6,403124237;4;1800;1;0;0;0
52;28;4,795831523;3;400;1;0;1;0
289.746.911.368.517;3;9,16515139;4;200;1;1;1;1
50;26;7,416198487;1;1600;2;0;1;0
49;24;6,244997998;1;1400;3;1;1;0
50;24;9,695359715;1;4900;1;0;1;0
34;10;4,582575695;4;700;2;1;1;0
47;23;9,486832981;1;2700;1;0;0;0
57;32;5,477225575;2;2000;2;0;0;0
62;38;6,480740698;3;100;3;1;0;1
40;16;8,062257748;2;3200;1;0;1;0
34;10;4,358898944;4;400;2;0;0;0
51;25;8,246211251;1;1500;2;0;0;0
44;19;13,11487705;2;4300;3;0;1;0
30;5;9,219544457;2;2500;1;0;1;1
33;9;7;1;2400;2;0;1;0
55;30;10,86278049;4;5600;2;0;1;0
50;26;20775897,29;1;0;1;1;0;0
54;24;8,306623863;3;1400;3;0;1;0
47;23;3,464101615;4;500;2;0;0;0
53;28;5,477225575;4;200;2;0;1;0
42;12;6,244997998;3;2000;3;0;1;1
35;11;7,681145748;4;100;2;0;0;0
35;10;6,92820323;1;2500;3;0;1;0
39;15;11,3137085;1;3400;1;1;0;0
63;37;11,48912529;1;4400;2;0;1;0
55;29;8,544003745;2;2300;3;0;1;1
63;38;3,741657387;4;400;2;0;1;1
59;34;9,695359715;3;500;1;0;0;1
54;28;10,39230485;4;1900;2;0;1;0
30;4;5,916079783;4;800;1;0;1;1
54;28;8,602325267;2;1100;1;0;1;0
31;5;7;4;1800;3;0;1;1
45;20;9,219544457;4;1100;2;0;1;0
33;8;11,04536102;1;0;1;0;1;1
43;16;12,68857754;3;8000;2;0;1;1
38;14;9,746794345;2;1900;1;0;1;1
57;32;4,582575695;4;900;2;1;0;0
63;37;10,58300524;4;2400;3;0;1;1
53;27;7,937253933;2;800;3;0;1;0
25;-1;6,244997998;3;2400;2;0;1;0
53;29;12;2;6800;1;0;1;0
40;15;7,141428429;2;1100;2;0;1;0
35;11;3,741657387;4;1000;1;0;1;1
25;0;6,633249581;4;600;2;0;1;1
39;15;9,695359715;2;1900;1;1;1;0
59;35;6,164414003;1;800;1;0;1;0
38;13;12,76714533;1;4100;1;0;0;0
38;13;13;1;6800;3;0;1;1
33;9;4,795831523;3;900;3;0;1;1
35;9;2,828427125;1;400;2;0;1;0
26;2;7,874007874;4;1600;1;0;0;0
65;35;4,795831523;1;1500;3;0;1;0
27;2;9,219544457;1;1900;1;0;1;1
52;22;4,69041576;4;400;3;0;1;1
51;24;9,16515139;3;2000;2;0;0;0
50;26;11,3137085;2;400;1;0;1;0
46;22;10,63014581;2;3300;1;0;0;1
34;10;6,708203932;3;2800;1;0;1;1
54;27;7,141428429;3;1000;2;0;1;1
44;20;6,557438524;1;700;1;0;0;1
64;39;5,916079783;1;1500;2;0;0;0
58;32;8,062257748;3;2500;1;0;1;0
30;4;9,110433579;2;1500;3;0;0;1
37;12;7,745966692;4;2100;3;0;1;0
57;32;9;2;3700;1;0;1;1
36;6;8,306623863;4;4000;3;1;1;0
26;2;5,477225575;1;1000;3;0;0;0
59;33;9,110433579;3;4400;1;1;1;0
53;27;10,04987562;4;4900;1;1;1;0
38;12;6,164414003;2;300;1;0;1;1
32;8;5,385164807;1;200;3;0;1;1
61;35;4,242640687;3;300;3;0;0;0
35;10;10,19803903;3;600;2;0;0;1
61;36;7,141428429;3;1500;1;0;0;1
35;5;4,69041576;1;670;3;0;0;0
50;25;9,110433579;4;3100;1;0;0;1
40;15;12;1;4100;1;1;0;0
36;12;12311855,09;3;6400;1;0;0;0
62;36;5;3;300;3;0;1;1
47;22;14,24780685;2;8800;1;0;1;0
44;20;8,426149773;4;1900;1;1;1;0
34;10;6,403124237;1;1330;1;0;0;1
41;17;9,949874371;2;1800;2;1;1;1
34;10;12,40967365;3;5400;2;0;1;0
45;21;6,480740698;2;2500;1;0;1;0
63;38;9,110433579;3;1800;2;0;1;0
28;2;11;2;2000;1;0;1;0
59;35;8,544003745;4;2300;3;0;0;0
49;25;11,61895004;2;1400;1;0;1;1
607.762.285.301.451;38;7,681145748;3;500;2;0;1;0
58;32;7,810249676;3;2200;3;0;1;1
36;11;13,52774926;1;3000;3;0;1;1
493.155.031.061.392;25;8,94427191;1;4900;1;0;0;0
36;11;10,04987562;3;1200;3;0;0;1
58;32;3,464101615;4;700;3;0;1;0
48;22;8,602325267;1;1400;3;0;0;0
60;36;7;4;2200;1;0;1;0
47;23;2,828427125;4;200;1;0;1;0
37;12;10,67707825;3;600;2;0;1;0
34;8;7,745966692;4;2200;2;0;0;1
34;9;13,34166406;1;800;3;1;0;0
59;33;9,539392014;4;1900;2;0;0;0
48;23;13,82027496;2;2800;1;0;0;1
50;25;9,110433579;4;3600;3;1;1;0
32;8;9,055385138;3;1500;1;0;1;1
32;6;4,242640687;2;300;2;1;1;0
39;13;25351478,16;3;3400;1;0;1;0
39;14;8,660254038;3;3000;1;0;0;1
63;39;8,888194417;4;1700;2;0;1;1
24;0;11,44552314;1;5400;1;0;1;0
64;40;5,656854249;3;100;3;0;1;0
49;24;11,40175425;4;1100;1;0;1;0
54;24;8,485281374;3;1400;3;0;0;1
32;8;4,472135955;1;500;3;0;1;0
64;38;9,16515139;1;2000;1;0;0;0
45;19;3,31662479;1;200;1;1;0;0
33;7;4,582575695;1;600;3;1;0;0
27;2;10,14889157;1;1900;1;0;1;0
65;39;7,280109889;1;2500;3;0;1;0
41;16;5,916079783;2;1400;2;0;0;0
57;32;8,246211251;4;700;1;0;1;1
61;35;8,888194417;2;2000;1;0;1;1
35;10;7,810249676;4;2100;3;0;1;0
43;19;12,68857754;2;7500;1;0;0;0
47;23;8,660254038;1;2600;2;0;0;1
54;28;5,830951895;4;700;2;0;1;0
34;8;6,244997998;4;200;1;0;1;0
34;8;4,472135955;2;300;1;0;1;1
61;37;17348200,77;1;0;2;0;0;1
61;37;7,348469228;4;1200;2;0;1;1
33;9;6,164414003;1;1330;1;0;0;0
35;10;13,49073756;1;300;2;0;1;1
38;12;11,74734012;2;0;1;0;1;0
26;0;12,20655562;2;7200;1;0;0;0
45;18;3,16227766;3;670;2;1;1;0
45;21;6,244997998;2;2100;3;0;0;1
53;28;8,602325267;3;2000;2;0;0;0
43;19;8,660254038;3;300;3;0;0;0
39;15;3,31662479;1;1000;1;0;0;0
41;17;12,84523258;2;7600;1;0;0;0
29;-1;7,874007874;2;1750;3;0;0;1
29;5;5,567764363;1;1800;2;0;1;1
35;10;5,477225575;3;1300;1;0;1;1
44;20;8,306623863;1;1,23E+17;3;1;1;1
35;9;7,615773106;1;2500;1;0;1;1
44;19;5,477225575;1;600;3;1;1;0
40;14;12,80624847;1;4300;2;0;0;0
29;5;13,96424004;1;4300;1;0;0;0
54;29;8,602325267;3;2000;2;0;0;0
39;14;10,63014581;1;1000;3;0;1;0
58;34;6,633249581;4;2200;1;0;0;0
38;12;5,744562647;4;1500;3;0;0;1
30;6;11,87434209;2;4330;1;0;0;0
43;17;9,055385138;1;5200;1;0;1;0
48;23;12,9614814;2;2800;1;0;1;0
54;29;5,830951895;4;100;3;0;1;1
45;21;12,56980509;2;6670;1;0;1;1
53;28;6,633249581;3;1700;1;0;0;0
30;5;11,44552314;3;500;3;0;0;0
34;8;6,164414003;4;200;1;0;0;0
28;4;9,38083152;1;5400;1;0;1;0
62;36;11,61895004;2;5200;2;0;1;0
59;34;8;4;1700;1;0;0;0
58;34;7,416198487;1;800;1;0;1;1
46;20;10,24695077;4;3200;1;1;0;0
30;6;7;3;700;2;0;0;1
53;28;6,403124237;2;600;3;0;0;0
61;35;7,745966692;1;2500;3;0;1;0
38;13;8,062257748;3;500;3;0;1;0
38;13;9,16515139;3;1200;3;0;1;1
66;41;8,94427191;4;100;2;0;1;0
50;24;10,58300524;1;0;1;0;0;0
28;3;11,61895004;2;3300;1;0;0;1
52;27;6,244997998;2;700;2;0;1;0
37;13;9,746794345;2;1700;2;0;0;1
60;34;8;3;2500;1;0;1;0
64;39;7;2;1500;1;1;1;0
46;21;6,244997998;2;1,97E+17;1;0;1;0
42;18;11,87434209;1;3500;1;0;0;0
32;7;10,04987562;4;2200;2;0;1;0
56;32;5;1;100;2;0;1;0
47;22;9,746794345;2;3900;2;0;0;0
40;15;5,567764363;1;600;3;0;1;0
54;30;8,888194417;4;1600;2;1;1;0
46;22;9,110433579;1;2700;1;0;1;0
45;19;4,69041576;1;200;1;0;1;0
297.015.846.514.512;5;11,53256259;1;5400;1;0;1;0
55;30;5,291502622;2;2000;2;0;1;1
39;13;8,306623863;3;100;1;0;0;0
56;32;9,486832981;2;300;1;0;1;1
31;6;12,04159458;1;800;1;0;1;0
38;12;9,539392014;4;1400;2;0;0;1
35;11;5,656854249;1;1330;1;0;1;1
64;39;10,67707825;1;800;3;0;1;0
52;27;6,708203932;2;2000;2;0;0;1
35;9;11,44552314;3;300;3;0;1;1
63;37;10,48808848;1;1,53E+17;3;0;0;0
33;7;10,19803903;2;3600;3;0;0;1
31;7;13,15294644;1;6000;1;0;1;0
51;25;13,60147051;1;1700;1;0;0;0
29;5;11;1;1500;1;0;1;0
44;18;11,09053651;3;5900;1;0;1;1
57;32;4,582575695;1;300;3;0;0;0
45;19;9,643650761;4;2600;3;0;0;0
49;25;9,486832981;4;1400;2;0;1;0
59;35;7,681145748;4;1200;2;0;1;0
53;27;6,244997998;4;1500;3;0;1;0
28;4;10,67707825;2;200;1;0;1;0
55;30;7,348469228;3;1700;1;0;1;0
54;30;10,95445115;1;7400;1;0;1;1
50;26;6,92820323;4;100;3;0;0;1
59;34;6,164414003;4;1700;1;0;0;1
33;8;8,831760866;3;600;2;1;1;0
47;23;13,07669683;2;1400;1;0;1;1
24;-2;8,94427191;2;1600;3;0;1;0
32;6;10,58300524;4;1800;2;0;1;0
55;29;9,695359715;1;800;3;0;0;0
43;18;7,615773106;1;2400;1;0;0;0
57;27;8,246211251;1;1400;3;0;1;0
28;2;13,7113092;2;4500;1;0;1;0
60;36;7,681145748;1;0;2;0;0;0
35;11;9,486832981;2;0;1;0;0;0
32;7;11,18033989;1;0;1;0;1;1
