;PC1;PC2;PC3
413;842.298.089.405.841;39.029.025.980.988;170.905.951.978.662
414;285.640.257.285.169;174.083.360.699.135;382.075.425.191.148
415;447.025.482.409.939;13.682.998.649.704;168.061.410.040.982
416;221.369.319.520.483;306.439.952.746.748;190.988.622.462.911
417;160.389.579.721.631;346.040.473.957.043;187.852.705.896.944
418;273.655.462.756.129;222.873.491.481.071;110.296.136.234.064
419;691.362.288.347.476;214.263.722.337.786;264.472.379.170.331
420;164.806.890.135.099;329.357.090.273.161;164.930.919.625.254
421;122.383.819.788.201;220.439.517.487.816;-787.309.405.013.884
422;621.843.733.496.111;-888.375.741.819.394;-117.039.714.594.996
423;133.514.888.205.011;225.934.739.634.716;-530.690.008.108.413
424;66.684.119.146.541;420.686.580.004.236;273.676.421.984.372
425;813.139.506.093.085;-50.223.776.725.938;292.891.096.350.611
426;204.915.791.826.047;32.581.051.318.441;2.060.430.020.213
427;170.231.418.508.131;335.231.090.027.248;187.095.354.009.873
428;386.737.086.425.204;206.164.772.084.505;22.132.025.982.184
429;680.529.161.225.649;-142.204.896.735.886;19.286.326.734.824
430;852.929.779.942.093;-10.094.376.793.169;247.661.009.589.579
431;777.664.228.727.541;-671.188.886.338.833;21.761.310.265.741
432;145.680.637.098.684;324.872.114.215.212;133.267.548.278.773
433;601.932.902.200.056;328.075.820.514.503;181.167.933.290.894
434;529.349.399.683.703;777.511.589.014.647;169.079.478.675.871
435;175.578.582.075.245;296.658.299.742.707;12.037.980.887.332
436;151.144.997.950.164;307.312.928.941.561;108.942.657.420.383
437;189.841.445.341.844;324.705.420.338.998;186.625.312.882.451
438;199.155.220.059.056;328.987.634.057.585;203.728.347.157.363
439;177.943.326.911.719;311.373.750.342.757;148.650.248.472.826
440;811.597.439.061.447;-244.438.922.234.334;-534.524.419.428.951
441;204.980.463.071.522;132.693.716.023.964;-131.224.762.537.861
442;841.254.379.548.031;-257.347.109.505.226;-398.451.878.700.417
443;49.708.577.575.179;-496.096.177.197.015;-953.257.607.502.582
444;861.807.461.669.885;-270.094.600.469.837;-377.821.907.038.931
445;14.749.863.332.066;244.354.519.062.986;-646.651.373.393.835
446;156.160.448.139.176;337.920.464.858.586;168.317.964.577.816
447;560.631.332.337.606;-490.064.443.833.024;-185.023.727.060.094
448;858.448.675.546.696;-268.224.064.453.655;-39.923.020.630.507
449;806.409.475.871.781;-241.247.365.549.546;-542.078.308.259.903
450;667.258.027.385.539;-107.637.502.976.061;811.572.009.248.376
451;639.211.663.122.111;605.433.760.651.721;271.735.307.623.488
452;483.389.561.515.548;-210.790.134.469.004;-61.601.589.353.805
453;449.359.342.667.335;-15.639.804.654.852;-92.306.806.189.199
454;71.780.439.176.642;-176.205.451.424.337;-477.874.568.365.511
455;874.658.980.871.931;-879.825.502.408.381;298.191.030.449.183
456;46.591.690.386.737;141.526.186.802.789;203.789.001.780.239
457;464.392.560.254.196;16.288.836.849.175;239.118.017.851.282
458;763.370.760.551.191;-190.410.511.874.254;286.129.530.222.444
459;689.149.795.381.735;-107.920.337.763.723;397.653.699.334.679
460;591.821.400.535.136;-110.560.419.211.432;-831.193.315.231.399
461;443.309.043.746.679;529.827.303.641.337;210.711.484.418.561
462;330.149.604.528.626;542.364.493.357.167;-114.029.758.525.159
463;579.387.277.953.021;-103.019.843.616.873;-847.824.498.789.719
464;509.591.474.849.233;-579.537.195.381.594;-917.064.410.846.601
465;678.547.731.476.678;-165.979.259.772.396;-70.922.101.610.669
466;50.401.631.676.875;251.719.906.998.689;-101.175.134.586.987
467;386.936.314.583.982;204.215.020.535.827;218.513.506.252.151
468;400.294.065.495.049;418.252.677.688.305;-517.402.816.164.137
469;151.831.275.196.923;17.407.172.654.497;-118.000.655.687.949
470;126.173.642.352.081;174.443.390.044.278;-145.982.498.333.361
471;384.456.557.960.366;172.990.552.059.917;-111.315.227.966.226
472;358.697.767.862.827;344.452.939.410.449;-113.564.126.243.199
473;31.855.599.268.484;588.820.868.270.238;-117.034.356.705.679
474;411.866.411.217.869;991.850.489.283.609;-878.102.389.508.079
475;704.603.669.466.792;-156.510.601.693.252;-290.334.027.168.784
476;571.716.532.028.242;-478.742.170.926.033;-360.284.589.003.931
477;429.475.711.784.936;-873.576.685.474.077;-1.048.308.854.419
478;151.451.194.250.662;18.714.484.156.786;-101.697.007.166.182
479;288.625.282.826.124;247.271.134.149.448;-144.938.865.424.981
480;140.377.960.145.656;175.602.590.170.927;-13.280.670.746.553
481;507.992.383.303.176;-611.262.954.171.955;-940.889.078.863.618
482;499.190.908.349.725;-529.440.191.725.187;-921.278.974.311.188
483;500.882.086.428.215;-550.237.990.423.209;-938.751.206.475.761
484;253.150.341.928.375;957.394.901.989.548;-124.750.591.853.784
485;220.303.465.458.109;129.477.333.490.502;-110.131.775.327.931
486;326.612.168.429.847;536.372.677.927.486;-111.200.173.049.312
487;498.163.291.533.307;-514.392.097.094.347;-919.871.349.866.347
488;425.221.129.885.228;-64.172.618.439.937;-975.318.624.382.955
489;40.826.953.555.746;278.893.746.418.569;-178.891.668.820.723
490;482.410.080.791.855;300.913.803.401.983;-133.114.913.845.309
491;517.548.759.572.551;311.677.731.529.553;-110.107.117.535.098
492;417.589.277.611.931;281.375.741.317.899;-174.495.843.199.529
493;3.990.156.143.495;277.295.160.662.657;-180.412.562.353.662
494;-125.642.917.750.492;38.812.124.926.107;-437.825.097.808.217
495;-126.109.542.015.213;38.065.543.443.404;-436.327.278.153.168
496;-126.426.240.019.201;388.089.876.001.355;-401.911.705.151.889
497;-124.648.330.041.872;399.502.526.576.645;-439.630.359.517.427
498;-124.869.663.460.903;396.738.503.250.196;-439.356.832.853.084
499;-125.042.560.414.834;394.549.532.510.685;-43.913.692.712.758
500;-124.476.291.604.199;405.783.808.298.676;-429.939.411.862.761
501;-124.328.145.126.014;404.041.833.312.217;-440.741.565.958.955
502;-184.933.211.448.888;-454.868.729.398.014;106.336.308.150.234
503;-18.517.667.424.848;-469.927.388.016.473;612.247.730.592.366
504;-184.531.127.927.654;-462.939.729.325.676;591.600.704.753.951
505;-184.138.433.955.699;-449.858.243.420.808;906.173.407.156.424
506;-184.233.197.096.759;-458.429.526.317.262;598.141.766.799.005
